team_name,year,wins,losses,ties,win_pct,avg_yards_play,opp_avg_yards_play,avg_yards_game,opp_avg_yards_game,avg_rush_yards_game,avg_pass_yards_game,tds_scored,opp_tds_scored,interceptions_thrown,sacks_taken,total_penalties,sacks,interceptions,efficiency_differential,scoring_efficiency,rush_yard_share,pass_yard_share,offensive_balance_score,td_differential,discipline_score,success_tier,efficiency_group,offensive_identity
Colorado Mesa,2025,6,5,0,0.5455,6.3,5.9,405.4,373.6,216.9,188.45,45.0,37.0,9.0,8.0,69.0,11.0,9.0,0.4,0.11100148001973359645,0.53509312939435056124,0.46490687060564943876,0.07018625878870112248,8.0,86.0,Average,Slight Positive Differential,Balanced
Colorado Mesa,2024,7,4,0,0.6364,5.2,4.2,326.6,249.8,165.6,161.0,33.0,23.0,12.0,18.0,79.0,29.0,11.0,1.0,0.10104102878138395591,0.50704225352112676056,0.49295774647887323944,0.01408450704225352112,10.0,109.0,Average,Strong Positive Differential,Balanced
Colorado Mesa,2023,6,5,0,0.5455,5.7,5.2,330.3,387.4,126.4,203.91,41.0,42.0,14.0,30.0,92.0,28.0,16.0,0.5,0.12412957917045110506,0.38267082437710029972,0.61732917562289970028,0.23465835124579940056,-1.0,136.0,Average,Slight Positive Differential,Pass Heavy
Colorado Mesa,2022,4,6,0,0.4000,5.9,5.3,437.1,386.0,132.0,305.1,48.0,42.0,1.0,35.0,73.0,28.0,14.0,0.6,0.10981468771448181194,0.30199039121482498284,0.69800960878517501716,0.39601921757035003432,6.0,109.0,Struggling,Slight Positive Differential,Pass Heavy
Colorado Mesa,2021,8,2,0,0.8000,6.6,3.7,452.1,257.0,194.6,257.5,43.0,19.0,9.0,32.0,77.0,27.0,4.0,2.9,0.09511170095111700951,0.43043574430435744304,0.56956425569564255696,0.13912851139128511392,24.0,118.0,Successful,Strong Positive Differential,Balanced
Colorado Mesa,2019,6,5,0,0.5455,5.1,5.3,372.6,411.5,169.6,203.0,50.0,46.0,16.0,29.0,87.0,34.0,13.0,-0.2,0.13419216317767042405,0.45517981749865807837,0.54482018250134192163,0.08964036500268384326,4.0,132.0,Average,Negative Differential,Balanced
Colorado Mesa,2018,7,4,0,0.6364,5.8,6.2,485.2,469.6,209.8,275.36,50.0,51.0,13.0,32.0,83.0,18.0,11.0,-0.4,0.10305028854080791426,0.43243466073048066617,0.56756533926951933383,0.13513067853903866766,-1.0,128.0,Average,Negative Differential,Balanced
Colorado Mesa,2017,9,2,0,0.8182,7.2,5.0,489.3,427.2,257.8,231.45,70.0,36.0,11.0,17.0,92.0,21.0,13.0,2.2,0.14306151645207439199,0.52692897291773122126,0.47307102708226877874,0.05385794583546244252,34.0,120.0,Successful,Strong Positive Differential,Balanced
Colorado Mesa,2016,9,3,0,0.7500,6.7,5.8,507.0,452.8,241.3,265.75,61.0,49.0,12.0,26.0,97.0,17.0,14.0,0.9,0.12031558185404339250,0.47588995168129375801,0.52411004831870624199,0.04822009663741248398,12.0,135.0,Successful,Slight Positive Differential,Balanced
Colorado Mesa,2015,9,2,0,0.8182,5.8,5.2,419.0,379.6,223.5,195.45,46.0,22.0,8.0,20.0,97.0,23.0,19.0,0.6,0.10978520286396181384,0.53347654851414249910,0.46652345148585750090,0.06695309702828499820,24.0,125.0,Successful,Slight Positive Differential,Balanced
Western Colorado,2025,10,3,0,0.7692,5.9,4.9,403.9,329.1,150.6,253.31,64.0,28.0,9.0,22.0,73.0,38.0,7.0,1.0,0.15845506313443921763,0.37285533906068183506,0.62714466093931816494,0.25428932187863632988,36.0,104.0,Successful,Strong Positive Differential,Pass Heavy
Western Colorado,2024,11,2,0,0.8462,6.0,4.8,418.5,300.9,170.2,248.31,59.0,32.0,17.0,29.0,83.0,43.0,7.0,1.2,0.14097968936678614098,0.40668084394638120953,0.59331915605361879047,0.18663831210723758094,27.0,129.0,Successful,Strong Positive Differential,Pass Heavy
Western Colorado,2023,10,2,0,0.8333,5.6,4.2,400.9,280.3,176.5,224.42,56.0,23.0,12.0,19.0,72.0,34.0,7.0,1.4,0.13968570715889249189,0.44023745385613089893,0.55976254614386910107,0.11952509228773820214,33.0,103.0,Successful,Strong Positive Differential,Balanced
Western Colorado,2022,7,4,0,0.6364,5.4,4.9,376.6,367.5,152.4,224.27,43.0,36.0,11.0,24.0,55.0,35.0,13.0,0.5,0.11417950079660116835,0.40459818939655401280,0.59540181060344598720,0.19080362120689197440,7.0,90.0,Average,Slight Positive Differential,Pass Heavy
Western Colorado,2021,10,2,0,0.8333,5.5,4.6,388.8,301.8,184.1,204.75,55.0,26.0,6.0,28.0,60.0,47.0,9.0,0.9,0.14146090534979423868,0.47344734473447344734,0.52655265526552655266,0.05310531053105310532,29.0,94.0,Successful,Slight Positive Differential,Balanced
Western Colorado,2019,5,6,0,0.4545,4.0,5.1,308.4,347.0,113.8,194.55,32.0,39.0,13.0,43.0,73.0,26.0,14.0,-1.1,0.10376134889753566796,0.36906113183071185341,0.63093886816928814659,0.26187773633857629318,-7.0,129.0,Struggling,Negative Differential,Pass Heavy
Western Colorado,2018,2,9,0,0.1818,4.0,5.5,286.7,412.9,123.1,163.64,31.0,45.0,9.0,43.0,71.0,29.0,13.0,-1.5,0.10812696198116498082,0.42930878147450652159,0.57069121852549347841,0.14138243705098695682,-14.0,123.0,Struggling,Negative Differential,Balanced
Western Colorado,2017,1,10,0,0.0909,3.7,5.7,248.4,398.8,95.3,153.09,15.0,53.0,22.0,35.0,66.0,19.0,7.0,-2.0,0.06038647342995169082,0.38367084021095857321,0.61632915978904142679,0.23265831957808285358,-38.0,123.0,Struggling,Negative Differential,Pass Heavy
Western Colorado,2016,7,4,0,0.6364,6.5,4.8,424.5,340.8,226.6,197.91,43.0,25.0,8.0,13.0,72.0,23.0,7.0,1.7,0.10129564193168433451,0.53379190125085392570,0.46620809874914607430,0.06758380250170785140,18.0,93.0,Average,Strong Positive Differential,Balanced
Western Colorado,2015,4,7,0,0.3636,6.5,6.1,481.5,512.6,211.3,270.27,51.0,49.0,6.0,21.0,77.0,14.0,14.0,0.4,0.10591900311526479751,0.43877317939240401188,0.56122682060759598812,0.12245364121519197624,2.0,104.0,Struggling,Slight Positive Differential,Balanced
CSU Pueblo,2025,10,2,0,0.8333,5.9,4.7,443.3,323.3,145.3,297.92,59.0,33.0,17.0,18.0,96.0,33.0,7.0,1.2,0.13309271373787502820,0.32782816659898019042,0.67217183340101980958,0.34434366680203961916,26.0,131.0,Successful,Strong Positive Differential,Pass Heavy
CSU Pueblo,2024,10,2,0,0.8333,7.2,4.4,462.3,332.4,153.8,308.5,63.0,30.0,15.0,15.0,123.0,40.0,8.0,2.8,0.13627514600908500973,0.33268440406662340472,0.66731559593337659528,0.33463119186675319056,33.0,153.0,Successful,Strong Positive Differential,Pass Heavy
CSU Pueblo,2023,8,3,0,0.7273,6.7,4.8,446.3,330.7,156.5,289.73,63.0,33.0,13.0,10.0,92.0,36.0,8.0,1.9,0.14116065426842930764,0.35071599847612217915,0.64928400152387782085,0.29856800304775564170,30.0,115.0,Successful,Strong Positive Differential,Pass Heavy
CSU Pueblo,2022,8,4,0,0.6667,6.4,4.8,423.3,321.7,154.6,268.75,58.0,35.0,19.0,41.0,92.0,27.0,6.0,1.6,0.13701866288684148358,0.36518247313097909531,0.63481752686902090469,0.26963505373804180938,23.0,152.0,Average,Strong Positive Differential,Pass Heavy
CSU Pueblo,2021,6,5,0,0.5455,5.6,4.4,359.5,307.6,141.5,217.91,39.0,25.0,12.0,23.0,80.0,32.0,6.0,1.2,0.10848400556328233658,0.39370078740157480315,0.60629921259842519685,0.21259842519685039370,14.0,115.0,Average,Strong Positive Differential,Pass Heavy
CSU Pueblo,2019,11,2,0,0.8462,5.5,4.2,359.0,296.1,170.5,188.46,54.0,26.0,30.0,26.0,89.0,48.0,6.0,1.3,0.15041782729805013928,0.47498328504568754179,0.52501671495431245821,0.05003342990862491642,28.0,145.0,Successful,Strong Positive Differential,Balanced
CSU Pueblo,2018,11,2,0,0.8462,5.8,3.5,409.8,241.8,250.8,159.0,59.0,22.0,6.0,25.0,89.0,52.0,28.0,2.3,0.14397266959492435334,0.61200585651537335286,0.38799414348462664714,0.22401171303074670572,37.0,120.0,Successful,Strong Positive Differential,Run Heavy
CSU Pueblo,2017,9,3,0,0.7500,5.9,4.1,385.4,270.3,180.9,204.5,56.0,21.0,10.0,16.0,97.0,27.0,23.0,1.8,0.14530358069538142190,0.46938245978204462896,0.53061754021795537104,0.06123508043591074208,35.0,123.0,Successful,Strong Positive Differential,Balanced
CSU Pueblo,2016,8,3,0,0.7273,5.9,4.6,380.4,305.9,195.8,184.55,46.0,25.0,12.0,18.0,70.0,19.0,14.0,1.3,0.12092534174553101998,0.51478901012225581701,0.48521098987774418299,0.02957802024451163402,21.0,100.0,Successful,Strong Positive Differential,Balanced
CSU Pueblo,2015,12,2,0,0.8571,6.8,4.4,416.0,308.8,291.0,125.0,68.0,28.0,12.0,19.0,95.0,42.0,24.0,2.4,0.16346153846153846154,0.69951923076923076923,0.30048076923076923077,0.39903846153846153846,40.0,126.0,Successful,Strong Positive Differential,Run Heavy
Colorado Mines,2025,7,4,0,0.6364,6.4,5.8,450.9,388.2,234.8,216.09,51.0,39.0,9.0,18.0,70.0,24.0,4.0,0.6,0.11310711909514304724,0.52074785424382887179,0.47925214575617112821,0.04149570848765774358,12.0,97.0,Average,Slight Positive Differential,Balanced
Colorado Mines,2024,8,3,0,0.7273,7.3,5.0,482.7,318.5,202.2,280.55,57.0,29.0,7.0,32.0,101.0,25.0,11.0,2.3,0.11808576755748912368,0.41885033661315380632,0.58114966338684619368,0.16229932677369238736,28.0,140.0,Successful,Strong Positive Differential,Pass Heavy
Colorado Mines,2023,14,1,0,0.9333,7.4,4.4,508.7,267.1,204.7,304.0,97.0,26.0,17.0,32.0,101.0,46.0,7.0,3.0,0.19068213092195793198,0.40239827010025555337,0.59760172989974444663,0.19520345979948889326,71.0,150.0,Successful,Strong Positive Differential,Pass Heavy
Colorado Mines,2022,13,3,0,0.8125,6.7,4.8,467.0,311.1,152.6,314.44,97.0,38.0,15.0,35.0,87.0,71.0,8.0,1.9,0.20770877944325481799,0.32673860911270983213,0.67326139088729016787,0.34652278177458033574,59.0,137.0,Successful,Strong Positive Differential,Pass Heavy
Colorado Mines,2021,12,2,0,0.8571,5.6,4.8,409.3,311.8,176.7,232.57,76.0,25.0,17.0,45.0,58.0,52.0,8.0,0.8,0.18568287319814317127,0.43174432526205194615,0.56825567473794805385,0.13651134947589610770,51.0,120.0,Successful,Slight Positive Differential,Balanced
Colorado Mines,2019,12,1,0,0.9231,6.6,4.6,488.2,285.0,251.5,236.69,73.0,28.0,11.0,29.0,87.0,39.0,5.0,2.0,0.14952888160589922163,0.51516827464716606239,0.48483172535283393761,0.03033654929433212478,45.0,127.0,Successful,Strong Positive Differential,Balanced
Colorado Mines,2018,10,2,0,0.8333,7.2,5.2,556.8,373.3,224.9,331.92,79.0,41.0,12.0,18.0,84.0,30.0,12.0,2.0,0.14188218390804597701,0.40390072195682626342,0.59609927804317373658,0.19219855608634747316,38.0,114.0,Successful,Strong Positive Differential,Pass Heavy
Colorado Mines,2017,7,4,0,0.6364,6.6,5.4,469.5,393.3,245.6,223.91,53.0,33.0,7.0,16.0,65.0,25.0,12.0,1.2,0.11288604898828541001,0.52309854955166024153,0.47690145044833975847,0.04619709910332048306,20.0,88.0,Average,Strong Positive Differential,Balanced
Colorado Mines,2016,10,3,0,0.7692,7.1,6.1,566.8,422.0,207.0,359.85,88.0,49.0,10.0,18.0,61.0,32.0,18.0,1.0,0.15525758645024700071,0.36517597247949192908,0.63482402752050807092,0.26964805504101614184,39.0,89.0,Successful,Strong Positive Differential,Pass Heavy
Colorado Mines,2015,8,3,0,0.7273,6.4,5.8,542.2,407.5,176.9,365.27,66.0,39.0,8.0,14.0,68.0,30.0,10.0,0.6,0.12172630025820730358,0.32628142464540642234,0.67371857535459357766,0.34743715070918715532,27.0,90.0,Successful,Slight Positive Differential,Pass Heavy
